股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,成交额(千元),MA5,MA10,MACD,RSI,VOLATILITY,大盘指数,RET,LOG_RET,INDEX_RET
300750.SZ,2019-01-21,75.03,75.63,74.26,75.24,75.4,-0.16,392.16895400000004,76.268,76.63,-0.0761382916270037,55.67523136111788,0.01570885046930052,2610.5094,-0.002122015915119513,-0.0021242705810809006,0.005586967917172503
300750.SZ,2019-01-22,75.0,75.67,74.03,74.27,75.24,-0.97,318.440028,75.648,76.124,-0.18365596400703055,52.04830566311086,0.012611450055972476,2579.7041,-0.012892078681552399,-0.012975902751624599,-0.011800493804006162
300750.SZ,2019-01-23,74.26,75.66,74.01,75.44,74.27,1.17,367.089066,75.402,75.87,-0.19197124068529092,55.0660307788275,0.013777924268151236,2581.0041,0.015753332435707534,0.015630536643996964,0.0005039337651167042
300750.SZ,2019-01-24,75.0,75.86,74.7,75.17,75.44,-0.27,286.305027,75.10400000000001,75.75899999999999,-0.21263927972719898,43.131189268100584,0.012157269912071687,2591.6935,-0.0035790031813360823,-0.00358542313582446,0.004141566454698653
300750.SZ,2019-01-25,75.64,78.79,75.17,77.44,75.17,2.27,707.4319830000001,75.512,75.974,-0.08273406248339654,50.06733821140598,0.014936961258903234,2601.7234,0.03019821737395234,0.02975122777894403,0.003870017808818904
300750.SZ,2019-01-28,78.1,78.26,76.02,76.07,77.44,-1.37,355.87956199999996,75.678,75.97299999999998,-0.0697782295691809,38.60136080985653,0.015972246709832133,2596.9767,-0.017691115702479387,-0.017849473959111822,-0.0018244445201206494
300750.SZ,2019-01-29,76.26,77.39,74.1,76.68,76.07,0.61,395.374218,76.16,75.904,-0.01918807053057492,45.20644300219751,0.01515341421257332,2594.2536,0.00801892993295672,0.007986949168234173,-0.0010485654337984984
300750.SZ,2019-01-30,74.33,77.36,73.61,76.2,76.68,-0.48,583.4301750000001,76.312,75.857,-0.011627212899242068,49.67579453313425,0.01500964632091866,2575.5756,-0.006259780907668322,-0.006279455484843248,-0.007199758728290817
300750.SZ,2019-01-31,76.27,77.77,76.05,76.12,76.2,-0.08,339.61400699999996,76.502,75.803,-0.01100107627493685,53.63073046104754,0.015009851606635526,2584.5724,-0.0010498687664042272,-0.0010504202646518758,0.003493122081137834
300750.SZ,2019-02-01,76.67,79.17,76.2,78.4,76.12,2.28,483.480057,76.694,76.103,0.14451351144727198,58.97826426503873,0.016652336508597262,2618.2323,0.029952706253284278,0.029512884928413412,0.013023392186653382
300750.SZ,2019-02-11,78.99,81.38,78.98,81.0,78.4,2.6,670.709803,77.67999999999999,76.679,0.4423344777061544,62.75468175927301,0.018802749823453094,2653.896,0.03316326530612246,0.03262522731607661,0.013621289447846241
300750.SZ,2019-02-12,80.5,81.6,80.03,81.0,81.0,0.0,402.64782199999996,78.54400000000001,77.352,0.668729698472589,66.00140990245832,0.01765124629309647,2671.8937,0.0,0.0,0.006781614652571211
300750.SZ,2019-02-13,80.8,83.57,80.37,81.7,81.0,0.7,647.6192759999999,79.644,77.978,0.8862814951693849,67.72145231361938,0.017484717458739186,2721.0683,0.00864197530864197,0.008604847193518428,0.018404399845697306
300750.SZ,2019-02-14,81.5,88.88,81.35,84.72,81.7,3.02,1084.873164,81.364,78.933,1.25949255839285,79.16138246186762,0.01909221894029255,2719.6999,0.03696450428396569,0.03629769942719378,-0.0005028907212655254
300750.SZ,2019-02-15,84.4,86.0,82.4,82.42,84.72,-2.3,880.799439,82.16799999999999,79.431,1.3713558343655592,69.8123080920357,0.021539115062088245,2682.385,-0.02714825306893287,-0.02752357538247964,-0.013720227000045049
300750.SZ,2019-02-18,83.15,84.88,82.56,84.46,82.42,2.04,735.31829,82.86,80.27000000000001,1.589743856733648,76.55023076064458,0.020403226318784946,2754.3566,0.024751273962630327,0.024449923595126124,0.02683119686398472
300750.SZ,2019-02-19,84.66,84.78,81.8,82.29,84.46,-2.17,782.086064,83.118,80.83099999999999,1.584172798831844,66.96379705333541,0.023453139877043665,2755.6459,-0.025692635567132194,-0.02602845588817578,0.00046809479934428744
300750.SZ,2019-02-20,82.8,84.5,82.1,83.17,82.29,0.88,506.750853,83.412,81.52799999999999,1.6258280359531625,69.23072263316747,0.02296920696449659,2761.2189,0.010693887471138641,0.010637112262974572,0.0020223933706431385
300750.SZ,2019-02-21,82.7,84.87,82.3,83.33,83.17,0.16,690.8705550000001,83.134,82.249,1.6513449554031752,65.75704009638517,0.02284314745544445,2751.8012,0.0019237705903569768,0.0019219225135191436,-0.003410703874292653
300750.SZ,2019-02-22,83.0,85.3,82.11,84.37,83.33,1.04,752.1835,83.524,82.846,1.7292259587275254,72.60343047668705,0.021731220008130287,2804.2262,0.012480499219968966,0.01240325978342012,0.019051158201399243
300750.SZ,2019-02-25,85.77,91.66,85.77,91.32,84.37,6.95,1380.34701,84.896,83.878,2.287675988010051,79.63558239278733,0.03153141517479482,2961.2834,0.08237525186677708,0.07915793348405922,0.05600732209120629
300750.SZ,2019-02-26,90.0,90.8,87.68,88.5,91.32,-2.82,1009.210794,86.138,84.628,2.486983043351941,72.74404517689973,0.03428355949338484,2941.5163,-0.03088042049934292,-0.031367269647710895,-0.006675180092523436
300750.SZ,2019-02-27,87.7,89.39,85.3,86.05,88.5,-2.45,795.2510890000001,86.714,85.063,2.4300092788311787,66.881981083042,0.036242585857436435,2953.8242,-0.027683615819209084,-0.028074029356335455,0.004184202548869198
300750.SZ,2019-02-28,86.01,89.18,86.01,87.7,86.05,1.65,637.896402,87.588,85.361,2.482107025580646,66.15702132736976,0.03495548321171877,2940.9538,0.019174898314933353,0.0189933767205891,-0.004357199050640914
300750.SZ,2019-03-01,91.1,92.88,89.4,90.03,87.7,2.33,873.96351,88.72,86.122,2.671047630890854,65.83651625004465,0.033743446611090785,2994.005,0.02656784492588371,0.026221048742248097,0.018038773679477815
